Comentario Original;text;Polaridad Manual;Polaridad Obtenida
Muy aburrida la clase siempre con presentaciones muy largas.;aburr   siempr    larg;negative;negative
La clase es tediosa y el profesor no sabe como explicar los temas.;tedios    no   explic ;negative;negative
Las clases son muy tediosas ya que solo usa diapositivas para su explicación.;tedi    usa diaposit   explic;negative;negative
El profesor es decepcionante y forma de evaluar y es bastante bipolar a la hora de tratar a los estudiantes.;decepcion  form  evalu    bipol     trat   estudi;negative;negative
Es una buena persona y su desempeño en clase es excelente.;buen    desempeñ    excelent;negative;positive
Muy tediosas las clases y las explicación es muy confusa.;tedi     explic   confus;negative;negative
El profesor no da sus clases debido a otras ocupaciones de su trabajo.;no da   deb  otras ocup  ;negative;negative
No cumple con las fechas del cronograma para evaluaciones.;no cumpl   fech   ;negative;negative
El profesor no da todas las clases y deja muchas dudas.;no da tod    dej ;negative;negative
Los tiempos de sus clases son muy cortos y lo desaprovecha platicando.;tiemp      cort   desaprovech platic;negative;negative
Debería de dar retroalimentación de los exámenes en tiempo y no dar excusas.;deb  dar retroaliment   examen    no dar excus;negative;negative
El profesor no entrego un cronograma y las evaluaciones no tienen fechas fijas.;no entreg      no  fech fij;negative;negative
El profesor tiene preferencia con algunas personas y se molesta cuando tienes dudas.;tien preferent      molest  tien;negative;negative
Debería de hacer mas didácticas sus clases ya que solo es leer teoría.;deb    didact       leer teor;negative;neutral
No cumple con la planeación de la clase.;no cumpl   planeacion  ;negative;negative
El profesor hace sus clases muy pesadas y sus clases no son nada dinámicas.;  hac    pes    no   dinam;negative;negative
El profesor fomenta el aprendizaje;  foment ;negative;positive
EL profesor generalmente no va a las clases.;  general no   ;negative;negative
No cumple con las fechas del cronograma para evaluaciones.;no cumpl   fech   ;negative;negative
El profesor no va a clases y por eso hay muchas dudas;  no       hay ;negative;negative
Los tiempos de sus clases son muy cortos y lo desaprovecha platicando.; tiemp      cort   desaprovech platic;negative;negative
Debería de dar retroalimentación de los exámenes en tiempo y no dar excusas.;deb  dar retroaliment   examen    no dar excus;negative;negative
El profesor nunca da retroalimentación de los examenes.;  nunc da retroaliment   examen;negative;positive
Una mala maestra no existe comunicación y no logra que el grupo aprenda los temas.; mal  no exist comun  no logr    aprend ;negative;negative
Debería de respetar las horas de salida, ya que siempre finaliza después de clases;deb  respet  hor  sal   siempr finaliz despues ;negative;neutral
Es un profesor muy estricto y no es respetuoso;    estrict  no  respetu;negative;negative
El maestro no organiza al grupo y el desorden es demasiado notable.;  no organiz     desord   notabl;negative;negative
