termino,fs,polaridad,Observación,
abandonar,strongsubj,negative,,
aberrante,strongsubj,negative,,
abominación,strongsubj,negative,,
aborrecer,strongsubj,negative,,
abrumar,weaksubj,negative,,
absurdo,strongsubj,negative,,
abuchear,strongsubj,negative,,
aburrido,strongsubj,negative,,
abusar,strongsubj,negative,,
accesible,strongsubj,positive,,
aclarar,strongsubj,positive,,
acosar,strongsubj,negative,,
activo,weaksubj,positive,,
acusar,strongsubj,negative,,
adaptable,weaksubj,positive,,
adecuado,weaksubj,positive,,
adicto,weaksubj,negative,,
admirar,strongsubj,positive,,
adorar,strongsubj,positive,,
adversario,strongsubj,negative,,
advertencia,weaksubj,negative,,
afecto,strongsubj,positive,,
afinidad,strongsubj,positive,,
afortunado,strongsubj,positive,,
agonía,strongsubj,negative,,
agotado,strongsubj,negative,,
agraciado,strongsubj,positive,,
agradable,strongsubj,positive,,
agradecido,strongsubj,positive,,
agresión,strongsubj,negative,,
aguafiestas,strongsubj,negative,,
alegar,strongsubj,negative,,
alentar,strongsubj,positive,,
alfabetizado,weaksubj,positive,,
alivio,strongsubj,positive,,
amable,strongsubj,positive,,
amado,strongsubj,positive,,
amargo,strongsubj,negative,,
ambicioso,weaksubj,positive,,
ambiguo,strongsubj,negative,,
ameno,strongsubj,positive,,
amenaza,weaksubj,negative,,
amistad,strongsubj,positive,,
amor,strongsubj,positive,,
andrajoso,strongsubj,negative,,
ángel,weaksubj,positive,,
angustia,strongsubj,negative,,
animado,strongsubj,positive,,
anticuado,weaksubj,negative,,
apasionado,strongsubj,positive,,
apático,strongsubj,negative,,
apenado,weaksubj,negative,,
aportar,weaksubj,positive,,
apreciar,strongsubj,positive,,
aprender,strongsubj,positive,,
aprendizaje,strongsubj,positive,,
aprobar,weaksubj,positive,,
apropiado,weaksubj,positive,,
apto,strongsubj,positive,,
ardúo,strongsubj,positive,,
arrepentido,weaksubj,positive,,
arrogante,strongsubj,negative,,
asco,strongsubj,negative,,
asegurar,weaksubj,positive,,
asesorar,strongsubj,positive,,
asistir,strongsubj,positive,,
