abandon,strongsubj,negative
aberr,strongsubj,negative
abomin,strongsubj,negative
aborrec,strongsubj,negative
abrum,weaksubj,negative
absurd,strongsubj,negative
abuch,strongsubj,negative
aburr,strongsubj,negative
aburr,strongsubj,negative
abus,strongsubj,negative
acces,strongsubj,positive
acech,strongsubj,negative
aclar,strongsubj,positive
acos,strongsubj,negative
activ,weaksubj,positive
acus,strongsubj,negative
adapt,weaksubj,positive
adecu,weaksubj,negative
adict,weaksubj,negative
admir,strongsubj,positive
ador,strongsubj,positive
adversari,strongsubj,negative
advertent,weaksubj,negative
afect,strongsubj,positive
afin,strongsubj,positive
afortun,strongsubj,positive
agon,strongsubj,negative
agot,strongsubj,negative
agot,strongsubj,negative
agraci,strongsubj,positive
agrad,strongsubj,positive
agradec,strongsubj,positive
agresion,strongsubj,negative
aguafiest,strongsubj,negative
aleg,strongsubj,negative
alent,strongsubj,positive
alfabetiz,weaksubj,positive
alivi,strongsubj,positive
altaner,strongsubj,negative
amabl,strongsubj,positive
amad,strongsubj,positive
amarg,strongsubj,negative
ambici,weaksubj,positive
ambigu,strongsubj,negative
amen,strongsubj,positive
amenaz,weaksubj,negative
amist,strongsubj,positive
amor,strongsubj,positive
andraj,strongsubj,negative
angel,weaksubj,positive
angusti,strongsubj,negative
anim,strongsubj,positive
anticu,weaksubj,negative
apasion,strongsubj,positive
apat,strongsubj,negative
apen,weaksubj,negative
aport,weaksubj,positive
apreci,strongsubj,positive
aprend,strongsubj,positive
aprendizaj,strongsubj,positive
aprob,weaksubj,positive
apropi,weaksubj,positive
apto,strongsubj,positive
ardu,strongsubj,positive
arrepent,weaksubj,positive
arrog,strongsubj,negative
asco,strongsubj,negative
asegur,weaksubj,positive
asesor,strongsubj,positive
asist,weaksubj,positive
asquer,strongsubj,negative
astut,strongsubj,positive
atent,strongsubj,positive
atorment,weaksubj,negative
atract,strongsubj,positive
atras,strongsubj,negative
atras,strongsubj,negative
atras,strongsubj,negative
atrev,weaksubj,negative
aturd,weaksubj,negative
audaz,strongsubj,positive
ausent,strongsubj,negative
autoritari,weaksubj,negative
autosuficient,weaksubj,positive
avanz,strongsubj,positive
avergonz,strongsubj,negative
ayud,strongsubj,positive
babos,strongsubj,negative
barbar,weaksubj,negative
bastard,strongsubj,negative
basur,strongsubj,negative
benefici,strongsubj,positive
berrinch,strongsubj,negative
bien,weaksubj,positive
bienest,strongsubj,positive
bipol,strongsubj,negative
blasfemi,strongsubj,negative
bob,strongsubj,negative
bondad,strongsubj,positive
bonit,strongsubj,positive
borrach,strongsubj,negative
bostez,strongsubj,negative
brillant,strongsubj,positive
brind,strongsubj,positive
brom,strongsubj,negative
brom,strongsubj,negative
brusc,strongsubj,negative
brutal,strongsubj,negative
buen,strongsubj,positive
burl,strongsubj,negative
caballer,strongsubj,positive
calam,strongsubj,negative
calid,strongsubj,positive
calific,strongsubj,positive
calm,weaksubj,positive
calumni,strongsubj,negative
camar,weaksubj,positive
campeon,strongsubj,positive
canall,strongsubj,negative
cans,strongsubj,negative
caos,strongsubj,negative
caotic,strongsubj,negative
capac,weaksubj,positive
capaz,weaksubj,positive
caprich,strongsubj,negative
carent,strongsubj,negative
carg,weaksubj,negative
cariñ,weaksubj,positive
carism,strongsubj,positive
castig,strongsubj,negative
catastrof,strongsubj,negative
cautel,weaksubj,negative
cautiv,strongsubj,positive
ced,weaksubj,positive
censur,strongsubj,negative
centr,strongsubj,positive
chantaj,strongsubj,negative
chifl,strongsubj,negative
chismos,strongsubj,negative
chocant,strongsubj,negative
cinic,strongsubj,negative
clar,strongsubj,positive
clarid,strongsubj,positive
cobard,strongsubj,negative
coherent,strongsubj,positive
comic,weaksubj,negative
comod,weaksubj,positive
compadec,strongsubj,positive
compasion,strongsubj,positive
compens,weaksubj,positive
competent,strongsubj,positive
competit,strongsubj,positive
complac,strongsubj,negative
complej,weaksubj,negative
complement,weaksubj,positive
complic,weaksubj,negative
comprend,weaksubj,positive
compromis,weaksubj,positive
concili,strongsubj,positive
concis,strongsubj,positive
conden,strongsubj,negative
conferent,weaksubj,positive
confes,weaksubj,positive
confi,strongsubj,positive
confianz,strongsubj,positive
confident,strongsubj,positive
configur,weaksubj,positive
conflict,strongsubj,negative
confront,strongsubj,negative
confund,strongsubj,negative
confusion,strongsubj,negative
conmocion,strongsubj,negative
conmovedor,strongsubj,positive
conoc,weaksubj,positive
conquist,weaksubj,positive
conscient,strongsubj,positive
consent,strongsubj,positive
consider,weaksubj,positive
consistent,weaksubj,positive
conspir,strongsubj,negative
constant,strongsubj,positive
constern,strongsubj,negative
construct,weaksubj,positive
consuel,strongsubj,positive
consum,weaksubj,negative
cont,weaksubj,positive
contagi,weaksubj,negative
contamin,strongsubj,negative
conten,weaksubj,positive
content,strongsubj,positive
continu,weaksubj,positive
contr,weaksubj,negative
contradec,strongsubj,negative
contraproducent,strongsubj,negative
contrari,strongsubj,negative
contribucion,strongsubj,positive
control,weaksubj,positive
controversi,weaksubj,negative
conven,weaksubj,positive
convenc,weaksubj,positive
convenient,weaksubj,positive
conviccion,strongsubj,positive
convincent,weaksubj,positive
cooper,weaksubj,positive
copi,strongsubj,negative
coquet,strongsubj,negative
cordial,weaksubj,positive
cordur,strongsubj,positive
correct,strongsubj,positive
correg,strongsubj,positive
corromp,strongsubj,negative
corrupcion,strongsubj,negative
corrupt,strongsubj,negative
cort,weaksubj,negative
cortej,strongsubj,negative
cortes,strongsubj,positive
costos,weaksubj,negative
cotidian,weaksubj,positive
cre,weaksubj,positive
creativ,strongsubj,positive
crecient,weaksubj,positive
credul,strongsubj,negative
creenci,weaksubj,positive
creibl,weaksubj,positive
crisis,strongsubj,negative
critic,strongsubj,negative
cronic,weaksubj,negative
cruel,strongsubj,negative
cuestion,strongsubj,negative
cuid,weaksubj,positive
culp,strongsubj,negative
cumpl,weaksubj,positive
curios,weaksubj,positive
cursi,strongsubj,negative
dañ,strongsubj,negative
deb,strongsubj,negative
deb,strongsubj,negative
deberi,strongsubj,negative
debil,strongsubj,negative
decaid,strongsubj,negative
decent,weaksubj,positive
decepcion,strongsubj,negative
decision,weaksubj,positive
declin,weaksubj,negative
decrec,weaksubj,negative
decrepit,strongsubj,negative
dedic,strongsubj,positive
defect,strongsubj,negative
defend,strongsubj,positive
deficient,strongsubj,negative
defin,weaksubj,positive
definit,weaksubj,positive
deform,weaksubj,negative
defraud,strongsubj,negative
degener,strongsubj,negative
degrad,strongsubj,negative
dej,weaksubj,negative
deleit,strongsubj,positive
delic,weaksubj,negative
delincuent,strongsubj,negative
deliri,strongsubj,negative
delit,strongsubj,negative
demacr,strongsubj,negative
dement,strongsubj,negative
demoniac,strongsubj,negative
demostr,strongsubj,negative
demuestr,strongsubj,positive
denigr,strongsubj,negative
deplor,strongsubj,negative
deprav,strongsubj,negative
deprim,strongsubj,negative
derech,weaksubj,positive
des,strongsubj,positive
desacredit,strongsubj,negative
desacuerd,strongsubj,negative
desafect,strongsubj,negative
