nad,weaksubj,negative
socializ,weaksubj,negative

abandon,strongsubj,negative

aberr,strongsubj,negative

abiert,weaksubj,positive

abland,strongsubj,negative

abomin,strongsubj,negative

aborrec,strongsubj,negative

abrum,strongsubj,negative

abrum,weaksubj,negative

abrupt,weaksubj,negative

absurd,strongsubj,negative

abuche,strongsubj,negative

aburr,strongsubj,negative

abus,strongsubj,negative

acat,strongsubj,positive

acces,strongsubj,positive

acept,weaksubj,positive

aclar,strongsubj,positive

acos,weaksubj,negative

activ,weaksubj,positive

acus,strongsubj,negative

adapt,weaksubj,positive

adecu,weaksubj,positive

adict,weaksubj,negative

admir,strongsubj,positive

ador,strongsubj,positive

adul,strongsubj,positive

adversari,strongsubj,negative

advertent,weaksubj,negative

afect,strongsubj,positive

afin,weaksubj,positive

aflig,weaksubj,negative

afortun,strongsubj,positive

agil,weaksubj,positive

agon,strongsubj,negative

agot,strongsubj,negative

agraci,strongsubj,positive

agrad,strongsubj,positive

agradec,strongsubj,positive

agresion,strongsubj,negative

agres,strongsubj,negative

agresor,strongsubj,negative

agri,weaksubj,negative

aguafiest,strongsubj,negative

aleg,strongsubj,negative

alegr,strongsubj,positive

alient,strongsubj,positive

alfabetiz,weaksubj,positive

alivi,strongsubj,positive

altruist,strongsubj,positive

amabil,strongsubj,positive

amabl,strongsubj,positive

amabl,weaksubj,positive

amad,strongsubj,positive

amarg,strongsubj,negative

ambici,weaksubj,positive

ambigu,strongsubj,negative

amen,strongsubj,positive

amenaz,weaksubj,negative

amen,weaksubj,positive

amig,strongsubj,positive

amist,weaksubj,positive

amor,strongsubj,positive

andraj,strongsubj,negative

angel,weaksubj,positive

angusti,strongsubj,negative

anhel,strongsubj,positive

anim,strongsubj,positive

aniquil,strongsubj,negative

ansi,strongsubj,positive

anticu,weaksubj,negative

apasion,strongsubj,positive

apat,strongsubj,negative

apen,strongsubj,negative

aplast,weaksubj,negative

aplaud,strongsubj,positive

aplaz,strongsubj,negative

aport,strongsubj,positive

apreci,strongsubj,positive

aprend,strongsubj,positive

aprendizaj,weaksubj,positive

aprob,weaksubj,positive

apropi,weaksubj,positive

apto,weaksubj,positive

ardu,strongsubj,negative

argument,weaksubj,negative

arrebat,strongsubj,negative

arregl,weaksubj,positive

arrepent,strongsubj,negative

arrib,weaksubj,positive

arriesg,weaksubj,negative

arrog,strongsubj,negative

articul,strongsubj,positive

artificial,weaksubj,negative

asalt,weaksubj,negative

asco,strongsubj,negative

asech,strongsubj,negative

asegur,strongsubj,positive

asegur,weaksubj,negative

asesor,strongsubj,positive

asist,strongsubj,positive

asombr,strongsubj,positive

aspir,strongsubj,positive

asquer,strongsubj,negative

astut,strongsubj,positive

atent,strongsubj,positive

atorment,strongsubj,negative

atorment,weaksubj,positive

atraccion,strongsubj,positive

atract,strongsubj,positive

atras,strongsubj,negative

atrev,strongsubj,positive

atropell,strongsubj,negative

atroz,strongsubj,negative

aturd,weaksubj,negative

audaz,strongsubj,positive

ausent,weaksubj,negative

autodestruct,strongsubj,negative

autonom,weaksubj,positive

autoritari,weaksubj,positive

autosuficient,weaksubj,positive

avanz,weaksubj,positive

avarici,strongsubj,negative

avar,strongsubj,negative

aventurer,strongsubj,positive

avergonz,strongsubj,negative

ayud,strongsubj,positive

babos,weaksubj,negative

baj,weaksubj,negative

banal,strongsubj,negative

barbar,strongsubj,negative

bastard,strongsubj,negative

basur,strongsubj,negative

bell,strongsubj,positive

benefici,weaksubj,positive

benevolent,strongsubj,positive

benevol,strongsubj,positive

benign,weaksubj,positive

berrinch,strongsubj,negative

besti,strongsubj,negative

bien,weaksubj,positive

bienest,strongsubj,positive

bipol,strongsubj,negative

blasfemi,strongsubj,negative

bob,strongsubj,negative

boicot,weaksubj,negative

bond,strongsubj,positive

bondad,strongsubj,positive

bonit,strongsubj,positive

borrach,strongsubj,negative

bostez,strongsubj,negative

bribon,strongsubj,negative

brillant,strongsubj,positive

brind,strongsubj,positive

brom,strongsubj,negative

brusc,weaksubj,negative

brutal,strongsubj,negative

brut,strongsubj,negative

buen,weaksubj,positive

buen,strongsubj,positive

burl,strongsubj,negative

caballer,strongsubj,positive

calam,strongsubj,negative

calid,strongsubj,positive

calific,weaksubj,positive

calm,weaksubj,positive

calumni,strongsubj,negative

camar,strongsubj,positive

campeon,weaksubj,positive

canall,strongsubj,negative

cans,strongsubj,negative

caos,strongsubj,negative

caotic,strongsubj,negative

capac,weaksubj,positive

capaz,weaksubj,positive

caprich,strongsubj,negative

carent,strongsubj,negative

carg,strongsubj,negative

cari�,strongsubj,positive

carism,strongsubj,negative

castig,strongsubj,negative

catastrof,strongsubj,negative

cautel,strongsubj,negative

cautiv,strongsubj,positive

ced,strongsubj,positive

censur,strongsubj,negative

centr,strongsubj,positive

chantaj,weaksubj,negative

chifl,strongsubj,negative

chismos,strongsubj,negative

chocant,strongsubj,negative

cinic,strongsubj,negative

clar,strongsubj,positive

clarid,weaksubj,positive

clar,weaksubj,positive

cobard,strongsubj,negative

coherent,weaksubj,positive

cohes,weaksubj,positive

comic,weaksubj,negative

comod,weaksubj,positive

compadec,strongsubj,negative

compasion,strongsubj,positive

compens,weaksubj,positive

competent,strongsubj,positive

competit,weaksubj,positive

complac,strongsubj,negative

complacient,strongsubj,negative

complej,strongsubj,negative

complement,weaksubj,positive

complic,weaksubj,negative

comprend,strongsubj,positive

comprens,strongsubj,positive

compromis,weaksubj,positive

compulsion,strongsubj,negative

compuls,strongsubj,negative

concili,strongsubj,positive

concili,weaksubj,positive

concis,strongsubj,positive

conden,strongsubj,negative

conferent,weaksubj,negative

confes,strongsubj,negative

confesion,strongsubj,negative

confiabil,strongsubj,positive

confiabl,weaksubj,positive

confianz,strongsubj,positive

confi,weaksubj,positive

confident,strongsubj,positive

configur,strongsubj,negative

conflict,weaksubj,negative

confront,strongsubj,negative

confront,weaksubj,negative

confund,strongsubj,negative

confund,weaksubj,negative

confusion,strongsubj,negative

confus,strongsubj,negative

congel,weaksubj,negative

mism,weaksubj,negative

conmocion,strongsubj,negative

conmovedor,strongsubj,positive

conoc,strongsubj,positive

conquist,weaksubj,positive

conscient,strongsubj,positive

consent,strongsubj,positive

consider,strongsubj,positive

consistent,weaksubj,positive

consol,weaksubj,positive

conspir,weaksubj,negative

constant,strongsubj,positive

constern,strongsubj,negative

construct,weaksubj,positive

consuel,strongsubj,positive

consum,strongsubj,positive

consum,weaksubj,negative

contagi,weaksubj,negative

contamin,strongsubj,negative

contamin,weaksubj,negative

cont,strongsubj,positive

contencion,strongsubj,negative

contenci,strongsubj,negative

contend,strongsubj,negative

conten,weaksubj,positive

content,strongsubj,positive

continu,weaksubj,positive

contorsion,strongsubj,negative

contr,weaksubj,negative

contradec,strongsubj,negative

contradiccion,strongsubj,negative

contradich,strongsubj,negative

contradictori,strongsubj,negative

contraproducent,strongsubj,negative

contrari,strongsubj,negative

contribucion,weaksubj,positive

control,weaksubj,positive

controversi,weaksubj,negative

contusion,weaksubj,negative

convenc,weaksubj,positive

convenient,weaksubj,negative

convenient,weaksubj,positive

convenir ,strongsubj,positive

conviccion,weaksubj,positive

convincent,strongsubj,positive

convulsion,strongsubj,negative

cooper,weaksubj,positive

copi,strongsubj,negative

coquet,strongsubj,negative

cordial,weaksubj,positive

cordur,strongsubj,positive

correct,weaksubj,positive

correg,strongsubj,positive

corrig,strongsubj,positive

corr,weaksubj,negative

corromp,strongsubj,negative

corrupcion,strongsubj,negative

corrupt,strongsubj,negative

cort,weaksubj,negative

cortej,strongsubj,positive

cortes,strongsubj,positive

cortes,weaksubj,positive

cosquille,strongsubj,negative

costos,weaksubj,negative

cotidian,strongsubj,negative

creativ,strongsubj,positive

crecient,strongsubj,positive

credul,strongsubj,negative

creenci,strongsubj,positive

creibl,strongsubj,positive

creyent,strongsubj,positive

crianz,strongsubj,positive

crisis,weaksubj,negative

critic,strongsubj,negative

deb,strongsubj,negative

cronic,weaksubj,negative

cruel,strongsubj,negative

cuestion,strongsubj,negative

cuid,weaksubj,positive

cuidad,weaksubj,positive

culp,strongsubj,negative

culpabl,strongsubj,negative

cumpl,weaksubj,positive

cumpl,strongsubj,positive

curi,strongsubj,positive

curios,strongsubj,positive

cursi,strongsubj,negative

da�,weaksubj,negative

deberi,strongsubj,negative

debil,weaksubj,negative

debil,strongsubj,negative

debilit,weaksubj,negative

decaid,strongsubj,negative

decenci,weaksubj,positive

decent,weaksubj,positive

decepcion,strongsubj,negative

decision,weaksubj,positive

decis,weaksubj,positive

declam,strongsubj,negative

declin,weaksubj,negative

decrec,weaksubj,negative

decrecient,weaksubj,negative

decrement,weaksubj,negative

decrepit,strongsubj,negative

decrepitud,strongsubj,negative

dedic,strongsubj,positive

defect,strongsubj,negative

defectu,strongsubj,negative

defend,strongsubj,positive

